Lap;K01;K02;K03;K04;K05;K06;K07;K08;K09;K10
1;69,41;68,12;71,08;69,72;69,8;68,01;68,15;66,2;69,96;69,51
2;96,41;73,12;83,99;74,25;73,27;73,66;73,92;75,5;79,25;71,35
3;68,47;68,97;72,47;70,53;67,99;67,99;67,74;66,07;69,14;68,39
4;68,31;67,95;70,93;71,53;69,24;67,42;66,72;65,98;68,66;69,43
5;69;68,06;72,04;68,28;68,67;67,53;66,89;66,28;68,83;69,59
6;68,71;69,15;74,89;68,99;69,93;68,02;66,78;67,53;68,89;68,75
7;68,64;68,88;71,94;68,22;68,05;67,99;66,44;65,96;69,8;68,51
8;68,46;67,99;75,16;68,45;68,73;68,67;65,98;66,47;69,03;70,55
9;68,68;67,6;72,94;68,23;68,54;67,93;67,33;65,21;69,34;68,22
10;71,05;67,05;73,63;72,02;68,49;67,65;66,01;65,85;69,29;68,19
11;68,77;68,55;72,72;67,39;68,36;67,44;69,58;66,28;69,85;69,11
12;;68,14;;67,73;69,98;68,25;65,6;65,95;;69,26
