Lap;K01;K02;K03;K04;K05;K06;K07;K08;K09;K10
1;80,94;81,41;79,08;81,01;80,51;80,64;81,43;82,05;80,2;80,89
2;67,46;67,17;70,52;76,88;67,64;67,88;66,64;65,45;68,07;67,85
3;68,64;67,32;71,43;69,05;69,79;66,9;65,41;65,42;68;67,55
4;68,66;67,42;69,17;67,8;70,61;67,52;66,82;68,38;69,9;68,28
5;67,11;68,25;69,69;67,42;67,19;66,75;65,94;66,67;67,06;67,2
6;66,83;67,77;69,43;68,93;67,14;67,41;67,1;66,31;67,79;67,2
7;66,85;68,31;70,64;67,37;67,05;67,03;65,94;65,6;67,03;67,3
8;68,73;66,99;72,74;68,82;66,29;67,24;65,35;65,49;67,18;67,28
9;67,11;67,15;73,81;67,97;67,1;67,3;65,09;66,06;66,75;67,39
10;67,82;66,31;72,94;67,62;67,78;67,52;65,16;65,2;68,4;69,83
11;67,84;66,84;73,78;68,03;66,42;66,44;65,21;65,73;67,27;68,93
12;66,8;66,66;77,23;66,6;66,53;66,71;68,63;67,31;67,56;67,64
13;67,1;66,35;74,05;67;66,55;66,42;65,72;65,37;68,31;68,34
14;66,94;67,03;72,92;70,54;67,12;66,9;69,25;69,14;78,6;69,31
15;66,49;67,38;73,04;67,21;66,49;67,68;65,49;65,89;67,32;66,97
16;66,84;67,11;72,04;67,01;67,18;65,87;66,49;65,96;67,88;67,78
17;66,33;67,44;;71,35;66,97;67,28;64,31;65,33;69,11;67,83
